chunk_id,document,section_path,content_preview,char_count,token_estimate,word_count,has_header
artificial_intelligence_chunk_000,Artificial_Intelligence,INTELLIGENCE?,"## Artificial Intelligence

---",31,5,4,True
artificial_intelligence_chunk_001,Artificial_Intelligence,INTELLIGENCE?,"## INTELLIGENCE?

This section describes how researchers and practitioners define “ Artificial Intel...",5767,1193,879,True
artificial_intelligence_chunk_002,Artificial_Intelligence,INTELLIGENCE?,"## INTELLIGENCE?

The final push came
through a long-running project at IBM, which culminated with t...",5180,1133,779,True
artificial_intelligence_chunk_003,Artificial_Intelligence,INTELLIGENCE?,"## INTELLIGENCE?

David Silver, Aja Huang, Chris J.

Maddison, Arthur Guez, Laurent Sifre, George va...",5854,1206,865,True
artificial_intelligence_chunk_004,Artificial_Intelligence,INTELLIGENCE?,"## INTELLIGENCE?

There
is growing interest in applications that can utilize the complementary stren...",6226,1202,909,True
artificial_intelligence_chunk_005,Artificial_Intelligence,INTELLIGENCE?,"## INTELLIGENCE?

In the coming years, new perception/object
recognition capabilities and robotic pl...",6010,1200,887,True
artificial_intelligence_chunk_006,Artificial_Intelligence,INTELLIGENCE?,"## INTELLIGENCE?

Deep learning also has been applied to improve
automobiles’ capacity to detect obj...",5297,1185,759,True
artificial_intelligence_chunk_007,Artificial_Intelligence,INTELLIGENCE?,"## INTELLIGENCE?

Molly McHugh, “Tesla’s Cars Now Drive Themselves, Kinda,” Wired , October 14, 2015...",5549,1170,802,True
artificial_intelligence_chunk_008,Artificial_Intelligence,INTELLIGENCE?,"## INTELLIGENCE?

The availability of large-scale data has also made transportation an ideal domain
...",5240,1128,731,True
artificial_intelligence_chunk_009,Artificial_Intelligence,INTELLIGENCE?,"## INTELLIGENCE?

As noted in the Section III policy discussion, how well this is done
will affect t...",5753,1191,843,True
artificial_intelligence_chunk_010,Artificial_Intelligence,INTELLIGENCE?,"## INTELLIGENCE?

Early expectations that many new applications would be found for home robots have
...",6179,1204,930,True
artificial_intelligence_chunk_011,Artificial_Intelligence,INTELLIGENCE?,"## INTELLIGENCE?

With automated assistance, the physician could
instead supervise this process, app...",6215,1204,896,True
artificial_intelligence_chunk_012,Artificial_Intelligence,INTELLIGENCE?,"## INTELLIGENCE?

For
example, multiple major healthcare systems have archives of millions of patien...",5744,1200,830,True
artificial_intelligence_chunk_013,Artificial_Intelligence,INTELLIGENCE?,"## INTELLIGENCE?

In
short, these platforms will facilitate making the connection between what is do...",5828,1164,845,True
artificial_intelligence_chunk_014,Artificial_Intelligence,INTELLIGENCE?,"## INTELLIGENCE?

Ortman, Victoria A.

Velkoff, and Howard Hogan, “ An Aging Nation: The
Older Popul...",5844,1183,859,True
artificial_intelligence_chunk_015,Artificial_Intelligence,INTELLIGENCE?,"## INTELLIGENCE?

New algorithms for
personalized tutoring, such as Bayesian Knowledge Tracing, enab...",5928,1205,856,True
artificial_intelligence_chunk_016,Artificial_Intelligence,INTELLIGENCE?,"## INTELLIGENCE?

Frishkoff , and Maxine Eskenazi, “ Automatic Question
Generation for Vocabulary As...",5753,1192,836,True
artificial_intelligence_chunk_017,Artificial_Intelligence,INTELLIGENCE?,"## INTELLIGENCE?

On the negative side, there is already a major trend among
students to restrict th...",5793,1196,852,True
artificial_intelligence_chunk_018,Artificial_Intelligence,INTELLIGENCE?,"## INTELLIGENCE?

And assuming careful deployment, AI may also help remove
some of the bias inherent...",5760,1155,834,True
artificial_intelligence_chunk_019,Artificial_Intelligence,INTELLIGENCE?,"## INTELLIGENCE?

LAW-TRAIN, Cambridge University Press, 2011).

Peter Neffenger, “TSA ’s Budget—A C...",5599,1187,850,True
artificial_intelligence_chunk_020,Artificial_Intelligence,INTELLIGENCE?,"## INTELLIGENCE?

But as exemplified in current political debates, job loss is
more salient to peopl...",5593,1148,855,True
artificial_intelligence_chunk_021,Artificial_Intelligence,INTELLIGENCE?,"## INTELLIGENCE?

As exemplified in the book and movie Moneyball , professional sport is now subject...",4612,884,665,True
cybersecurity_chunk_000,Cybersecurity,Cybersecurity,"## Cybersecurity

---

NIST CSWP 29 February 26, 2024
1 1.

Cybersecurity Framework Overview
This do...",6000,1202,921,True
cybersecurity_chunk_001,Cybersecurity,Cybersecurity,"## Cybersecurity

- GOVERN — The organization’s cybersecurity risk management strategy,
expectations...",6317,1189,915,True
cybersecurity_chunk_002,Cybersecurity,Cybersecurity,"## Cybersecurity

2.

A Target Profile specifies the desired outcomes that an organization has selec...",6044,1196,919,True
cybersecurity_chunk_003,Cybersecurity,Cybersecurity,"## Cybersecurity

They may be produced by NIST or another organization.

S ome Informative
Reference...",5921,1153,882,True
cybersecurity_chunk_004,Cybersecurity,Cybersecurity,"## Cybersecurity

For government entities , these may be division - or branch- level considerations ...",6146,1204,898,True
cybersecurity_chunk_005,Cybersecurity,Cybersecurity,"## Cybersecurity

Given the complex and interconnected relationships in this ecosystem , supply chai...",1574,330,231,True
digital_health_chunk_000,Digital_Health,Guiding Principles,"## Digital Health

---

13globally and within countries at national and subnational levels,
that wil...",2371,422,322,True
digital_health_chunk_001,Digital_Health,Strategic Objectives,"## Guiding Principles

The four guiding principles aim to orient the global strategy towards the
app...",4452,799,608,True
digital_health_chunk_002,Digital_Health,"Strategic Objectives > 22To strengthen health systems by introducing digital technologies,","## Strategic Objectives

The four strategic objectives are intended to provide guidance and
coordina...",4135,726,571,True
digital_health_chunk_003,Digital_Health,Strategic Objectives > 24should include defining principles and reaching cross-sectoral and,"## 22To strengthen health systems by introducing digital technologies,

a key objective is to find w...",3600,626,511,True
digital_health_chunk_004,Digital_Health,Strategic Objectives > 27Policy options and actions,"## 24should include defining principles and reaching cross-sectoral and

international agreements fo...",5704,1021,800,True
digital_health_chunk_005,Digital_Health,Strategic Objectives > 27Policy options and actions,"## 27Policy options and actions

The following policy options and actions are proposed:
- place peop...",1922,337,267,True
human_development_chunk_000,Human_Development,Human Development,"## Human Development

---

perplexing disputes about vaccines generally.10 The
last mile is long in ...",5569,1188,873,True
human_development_chunk_001,Human_Development,Human Development,"## Human Development

Instead, they are stacked on
top of each other, interacting and amplifying in ...",5139,1048,796,True
human_development_chunk_002,Human_Development,Human Development,"## Human Development

The groups most likely to be left behind face a world with complex new uncerta...",5552,1204,869,True
human_development_chunk_003,Human_Development,Human Development,"## Human Development

If uncertainty forms storm
clouds over all aspects of human development, then ...",5425,1201,854,True
human_development_chunk_004,Human_Development,Human Development,"## Human Development

Random rewards in the form of likes on Insta gram or TikTok or the adrenaline ...",5652,1188,882,True
human_development_chunk_005,Human_Development,Human Development,"## Human Development

A health issue themselves, they are often
linked to other health challenges.

...",5815,1187,941,True
human_development_chunk_006,Human_Development,Human Development,"## Human Development

Consider
artificial intelligence, a disruptive opportunity at least
as much as...",5538,1153,871,True
human_development_chunk_007,Human_Development,Human Development,"## Human Development

Still, we must reach for broader perspec tives of human decisionmaking, ones t...",5404,1132,851,True
human_development_chunk_008,Human_Development,Human Development,"## Human Development

More countercyclical social protection measures
can be automatically triggered...",5907,1171,882,True
human_development_chunk_009,Human_Development,Human Development,"## Human Development

Everyone is immersed in social contexts, with cul ture understood not as a fix...",5297,1121,868,True
renewable_energy_jobs_chunk_000,Renewable_Energy_Jobs,Chapter,"## Renewable Energy Jobs

---

## Chapter

hydropower and liquid biofuels. Other renewable energy te...",2613,629,413,True
renewable_energy_jobs_chunk_001,Renewable_Energy_Jobs,Chapter,"## Chapter

19China accounted for about 56% of PV employment worldwide, or some 2.76  million jobs.
...",2867,636,450,True
renewable_energy_jobs_chunk_002,Renewable_Energy_Jobs,Chapter,"## Chapter

... in solar PV 40%Average women‘s share...45.9%
... economy-wide22%
... in oil and gas ...",2267,518,338,True
renewable_energy_jobs_chunk_003,Renewable_Energy_Jobs,Chapter,"## Chapter

China
GermanyBrazil
Denmark
United KingdomFranceSpain
Netherlands
United StatesIndia
0Mi...",3060,771,452,True
renewable_energy_jobs_chunk_004,Renewable_Energy_Jobs,Chapter,"## Chapter

27In the United States, 360 000 people were required for direct and indirect labour
in b...",2321,566,365,True
renewable_energy_jobs_chunk_005,Renewable_Energy_Jobs,Chapter,"## Chapter

FranceSweden30 000
0Thousand jobs
Italy
Poland
NetherlandsFinlandSpainNorwayDenmark
Swit...",4438,1086,675,True
renewable_energy_jobs_chunk_006,Renewable_Energy_Jobs,Chapter,"## Chapter

31Table 1 Direct jobs in Kenyan mini-grid development
N
otes: a The number of sites that...",2240,518,319,True
